qz,qxy,intensity
2,0,72.591
2,0.00892857,57.384
2,0.0178571,57.134
2,0.0267857,58.074
2,0.0357143,58.438
2,0.0446429,58.438
2,0.0535714,58.438
2,0.0625,58.438
2,0.0714286,58.438
2,0.0803571,58.438
2,0.0892857,58.438
2,0.0982143,58.438
2,0.107143,58.438
2,0.116071,58.438
2,0.125,58.438
2,0.133929,58.438
2,0.142857,58.438
2,0.151786,58.438
2,0.160714,58.438
2,0.169643,58.438
2,0.178571,58.438
2,0.1875,58.438
2,0.196429,58.438
2,0.205357,58.438
2,0.214286,58.438
2,0.223214,58.438
2,0.232143,58.438
2,0.241071,58.438
2,0.25,58.438
2,0.258929,58.438
2,0.267857,58.438
2,0.276786,58.438
2,0.285714,58.438
2,0.294643,58.438
2,0.303571,58.449
2,0.3125,58.128
2,0.321429,58.128
2,0.330357,58.161
2,0.339286,57.563
2,0.348214,57.818
2,0.357143,58.427
2,0.366071,57.606
2,0.375,63.825
2,0.383929,86.071
2,0.392857,85.613
2,0.401786,83.233
2,0.410714,82.217
2,0.419643,82.092
2,0.428571,82.684
2,0.4375,83.097
2,0.446429,83.456
2,0.455357,82.869
2,0.464286,83.168
2,0.473214,83.869
2,0.482143,83.869
2,0.491071,83.869
2,0.5,83.869
2,0.508929,83.641
2,0.517857,83.94
2,0.526786,83.94
2,0.535714,83.94
2,0.544643,84.652
2,0.553571,84.951
2,0.5625,84.951
2,0.571429,84.951
2,0.580357,84.723
2,0.589286,85.136
2,0.598214,85.848
2,0.607143,85.859
2,0.616071,86.158
2,0.625,87.158
2,0.633929,87.87
2,0.642857,89.642
2,0.651786,88.186
2,0.660714,86.485
2,0.669643,88.485
2,0.678571,89.197
2,0.6875,88.98
2,0.696429,89.991
2,0.705357,92.002
2,0.714286,93.187
2,0.723214,94.084
2,0.732143,94.084
2,0.741071,93.383
2,0.75,93.095
2,0.758929,92.981
2,0.767857,92.878
2,0.776786,93.878
2,0.785714,94.177
2,0.794643,93.59
2,0.803571,93.601
2,0.8125,93.498
2,0.821429,92.509
2,0.830357,91.694
2,0.839286,91.118
2,0.848214,90.428
2,0.857143,91.026
2,0.866071,90.417
2,0.875,89.417
2,0.883929,88.727
2,0.892857,88.336
2,0.901786,86.461
2,0.910714,86.461
2,0.919643,85.543
2,0.928571,84.554
2,0.9375,83.853
2,0.946429,83.494
2,0.955357,83.505
2,0.964286,82.516
2,0.973214,81.744
2,0.982143,83.228
2,0.991071,79.125
2,1,77.837
2,1.00893,76.837
2,1.01786,74.837
2,1.02679,76.435
2,1.03571,73.549
2,1.04464,74.848
2,1.05357,73.794
2,1.0625,71.441
2,1.07143,70.441
2,1.08036,69.213
2,1.08929,65.686
2,1.09821,66.746
2,1.10714,63.632
2,1.11607,68.404
2,1.125,60.834
2,1.13393,58.606
2,1.14286,56.894
2,1.15179,56.78
2,1.16071,57.552
2,1.16964,57.438
2,1.17857,57.21
2,1.1875,57.438
2,1.19643,58.438
2,1.20536,58.438
2,1.21429,58.438
2,1.22321,58.438
2,1.23214,58.666
2,1.24107,58.666
2,1.25,58.666
2,1.25893,58.552
2,1.26786,58.438
2,1.27679,58.438
2,1.28571,58.438
2,1.29464,58.438
2,1.30357,58.438
2,1.3125,58.438
2,1.32143,58.438
2,1.33036,58.438
2,1.33929,58.438
2,1.34821,58.438
2,1.35714,58.438
2,1.36607,58.438
2,1.375,58.438
2,1.38393,58.438
2,1.39286,58.438
2,1.40179,58.438
2,1.41071,58.438
2,1.41964,58.438
2,1.42857,58.438
2,1.4375,58.438
2,1.44643,58.438
2,1.45536,58.438
2,1.46429,58.438
2,1.47321,58.438
2,1.48214,58.438
2,1.49107,58.438
2,1.5,58.438
2,1.50893,58.438
2,1.51786,58.438
1.99031,0,72.525
1.99031,0.00892857,57.568
1.99031,0.0178571,54.611
1.99031,0.0267857,57.209
1.99031,0.0357143,57.323
1.99031,0.0446429,57.323
1.99031,0.0535714,57.323
1.99031,0.0625,57.323
1.99031,0.0714286,57.323
1.99031,0.0803571,57.323
1.99031,0.0892857,57.323
1.99031,0.0982143,57.323
1.99031,0.107143,57.323
1.99031,0.116071,57.323
1.99031,0.125,57.323
1.99031,0.133929,57.323
1.99031,0.142857,57.323
1.99031,0.151786,57.323
1.99031,0.160714,57.323
1.99031,0.169643,57.323
1.99031,0.178571,57.323
1.99031,0.1875,57.323
1.99031,0.196429,57.323
1.99031,0.205357,57.323
1.99031,0.214286,57.323
1.99031,0.223214,57.323
1.99031,0.232143,57.323
1.99031,0.241071,57.323
1.99031,0.25,57.323
1.99031,0.258929,57.323
1.99031,0.267857,57.323
1.99031,0.276786,57.323
1.99031,0.285714,57.323
1.99031,0.294643,57.622
1.99031,0.303571,57.551
1.99031,0.3125,57.056
1.99031,0.321429,57.056
1.99031,0.330357,57.551
1.99031,0.339286,57.252
1.99031,0.348214,57.828
1.99031,0.357143,57.252
1.99031,0.366071,57.284
1.99031,0.375,77.16
1.99031,0.383929,85.499
1.99031,0.392857,83.987
1.99031,0.401786,85.123
1.99031,0.410714,82.221
1.99031,0.419643,82.683
1.99031,0.428571,82.563
1.99031,0.4375,83.161
1.99031,0.446429,84.047
1.99031,0.455357,84.047
1.99031,0.464286,84.047
1.99031,0.473214,83.047
1.99031,0.482143,83.047
1.99031,0.491071,82.748
1.99031,0.5,82.748
1.99031,0.508929,83.634
1.99031,0.517857,83.634
1.99031,0.526786,83.346
1.99031,0.535714,83.346
1.99031,0.544643,83.346
1.99031,0.553571,83.346
1.99031,0.5625,83.645
1.99031,0.571429,83.944
1.99031,0.580357,83.716
1.99031,0.589286,83.716
1.99031,0.598214,83.428
1.99031,0.607143,84.026
1.99031,0.616071,83.738
1.99031,0.625,84.738
1.99031,0.633929,85.45
1.99031,0.642857,86.39
1.99031,0.651786,86.917
1.99031,0.660714,84.803
1.99031,0.669643,84.803
1.99031,0.678571,86.999
1.99031,0.6875,87.597
1.99031,0.696429,88.907
1.99031,0.705357,90.619
1.99031,0.714286,90.701
1.99031,0.723214,91.473
1.99031,0.732143,92.185
1.99031,0.741071,91.609
1.99031,0.75,90.908
1.99031,0.758929,92.392
1.99031,0.767857,92.517
1.99031,0.776786,93.588
1.99031,0.785714,92.947
1.99031,0.794643,92.73
1.99031,0.803571,92.442
1.99031,0.8125,92.752
1.99031,0.821429,92.176
1.99031,0.830357,91.66
1.99031,0.839286,91.671
1.99031,0.848214,91.981
1.99031,0.857143,92.579
1.99031,0.866071,92.28
1.99031,0.875,91.579
1.99031,0.883929,91.715
1.99031,0.892857,90.438
1.99031,0.901786,89.025
1.99031,0.910714,89.014
1.99031,0.919643,88.634
1.99031,0.928571,87.819
1.99031,0.9375,87.118
1.99031,0.946429,85.542
1.99031,0.955357,84.667
1.99031,0.964286,82.379
1.99031,0.973214,82.792
1.99031,0.982143,82.803
1.99031,0.991071,79.836
1.99031,1,76.423
1.99031,1.00893,76.423
1.99031,1.01786,78.847
1.99031,1.02679,76.146
