experiment_id,map_id,geometry,qz_units,qxy_units,qz,qxy,intensity
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0,72.591
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.00892857,57.384
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0178571,57.134
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0267857,58.074
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0357143,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0446429,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0535714,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0625,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0714286,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0803571,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0892857,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.0982143,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.107143,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.116071,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.125,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.133929,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.142857,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.151786,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.160714,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.169643,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.178571,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.1875,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.196429,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.205357,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.214286,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.223214,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.232143,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.241071,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.25,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.258929,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.267857,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.276786,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.285714,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.294643,58.438
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.303571,58.449
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.3125,58.128
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.321429,58.128
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.330357,58.161
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.339286,57.563
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.348214,57.818
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.357143,58.427
